model,agent_count,avg_variance,avg_entropy,avg_gini,avg_uniform_kl,avg_A_prob,avg_B_prob,avg_C_prob
deepseek-r1,560,0.062269841269841,1.1810743042217449,0.36809523809524053,0.4029839591909347,0.2939285714285701,0.3264285714285691,0.3796428571428554
gpt-4o-mini,1120,0.018083333333333357,1.4661719440432142,0.19552248677248465,0.1187623488301738,0.316696428571428,0.3348214285714303,0.3465178571428565
